4,0,0,7.5445e-05,5.7905e-05
5,0,0,8.093e-05,6.4564e-05
6,0,0,0.0001287,0.00011147
7,0,0,0.000263898,0.000246285
8,0,0,0.001021718,0.001000422
9,0,0,0.004005439,0.003985714
10,0,0,0.016877688,0.016859117
11,0,0,0.070368486,0.070351101
12,0,0,0.235477164,0.23546505
13,0,1,0.370235319,0.370223008
4,1,0,5.2453e-05,4.411e-05
5,1,0,7.1866e-05,6.1353e-05
6,1,0,0.000103497,9.2914e-05
7,1,0,0.00017439,0.000165479
8,1,0,0.000574713,0.000562482
9,1,0,0.002453305,0.002441065
10,1,0,0.012542367,0.012528481
11,1,0,0.052969665,0.052956829
12,1,0,0.221448645,0.2214401
13,1,1,0.588321851,0.588313668
4,2,0,0.00019522,0.000186863
5,2,0,0.00021862,0.000207791
6,2,0,0.000272654,0.000261833
7,2,0,0.000576762,0.000565885
8,2,0,0.000593366,0.000582123
9,2,0,0.002540086,0.002527787
10,2,0,0.011547696,0.011535297
11,2,0,0.063524825,0.06350971
12,2,0,0.226459038,0.226446179
13,2,1,0.578705582,0.578688962
4,3,0,0.000187741,0.000179666
5,3,0,0.000188491,0.000180436
6,3,0,0.000320601,0.000312535
7,3,0,0.000520907,0.00051262
8,3,0,0.000482907,0.00047463
9,3,0,0.001689162,0.001681054
10,3,0,0.016617814,0.016598758
11,3,0,0.068466386,0.068449849
12,3,0,0.221602383,0.221590582
13,3,1,0.592584596,0.592569644
4,4,0,0.000299311,0.000283739
5,4,0,0.000322762,0.000307141
6,4,0,0.000428617,0.000413191
7,4,0,0.000695079,0.000680947
8,4,0,0.000610807,0.0005959
9,4,0,0.001801415,0.001787147
10,4,0,0.011212191,0.011197739
11,4,0,0.039382731,0.039368839
12,4,0,0.221328308,0.22131454
13,4,1,0.556281907,0.556263461
4,5,0,0.000358606,0.000339358
5,5,0,0.000700139,0.000682413
6,5,0,0.000545418,0.000528766
7,5,0,0.000940219,0.000922648
8,5,0,0.000526005,0.000510213
9,5,0,0.00191253,0.001893616
10,5,0,0.007928548,0.00791052
11,5,0,0.070593462,0.070575837
12,5,0,0.221752899,0.221735809
13,5,1,0.581803508,0.58178593
4,6,0,0.00035592,0.000340566
5,6,0,0.000466955,0.000451925
6,6,0,0.000556787,0.000533738
7,6,0,0.000921034,0.000906825
8,6,0,0.000557737,0.000543427
9,6,0,0.002320157,0.002299175
10,6,0,0.014981044,0.014959993
11,6,0,0.039844743,0.039823619
12,6,0,0.246904859,0.246885143
13,6,1,0.584912875,0.584894311
4,7,0,0.000314496,0.000305258
5,7,0,0.000350778,0.000342644
6,7,0,0.000400615,0.000392602
7,7,0,0.000922607,0.000914478
8,7,0,0.000711761,0.000697441
9,7,0,0.003413282,0.003396717
10,7,0,0.012376203,0.012359713
11,7,0,0.050846279,0.050825263
12,7,0,0.221942326,0.221922838
13,7,1,0.559206203,0.559187814
4,8,0,0.000490791,0.000469742
5,8,0,0.000490189,0.000470378
6,8,0,0.000655415,0.000637078
7,8,0,0.001102744,0.001085359
8,8,0,0.000953249,0.000933573
9,8,0,0.00215576,0.002132857
10,8,0,0.018714075,0.018693183
11,8,0,0.03987145,0.039850474
12,8,0,0.24459521,0.244575734
13,8,1,0.591590215,0.591572702
4,0,0,6.5996e-05,5.1129e-05
5,0,0,7.3904e-05,5.9033e-05
6,0,0,0.000136043,0.000116289
7,0,0,0.000268982,0.000250544
8,0,0,0.000832186,0.000814821
9,0,0,0.003296844,0.003280336
10,0,0,0.014220619,0.014204809
11,0,0,0.059579621,0.059565479
12,0,0,0.227631055,0.227620242
13,0,1,0.360332589,0.360321676
4,1,0,7.5926e-05,6.3503e-05
5,1,0,8.8084e-05,7.5244e-05
6,1,0,0.000127411,0.000114602
7,1,0,0.000257881,0.000244436
8,1,0,0.000631607,0.000618075
9,1,0,0.003853164,0.003833759
10,1,0,0.018543394,0.018522885
11,1,0,0.069128599,0.069111783
12,1,0,0.236166683,0.236154712
13,1,1,0.577931702,0.577923547
4,2,0,0.000168975,0.000160908
5,2,0,0.000254834,0.000241931
6,2,0,0.000411663,0.000395067
7,2,0,0.000697356,0.00068167
8,2,0,0.000847352,0.000831688
9,2,0,0.00325835,0.003242423
10,2,0,0.01763355,0.017614185
11,2,0,0.075612639,0.075593382
12,2,0,0.239178984,0.239161199
13,2,1,0.587533922,0.587517451
4,3,0,0.00027265,0.000256259
5,3,0,0.000323119,0.00030741
6,3,0,0.000435505,0.000414499
7,3,0,0.000739392,0.000719784
8,3,0,0.000639683,0.000621278
9,3,0,0.002551663,0.002534123
10,3,0,0.011232213,0.011215567
11,3,0,0.063679359,0.063663797
12,3,0,0.22597279,0.225961533
13,3,1,0.577121063,0.577104444
4,4,0,0.000245348,0.000237091
5,4,0,0.000310343,0.000302319
6,4,0,0.000474016,0.000463434
7,4,0,0.000717478,0.000703545
8,4,0,0.000445462,0.000437162
9,4,0,0.001695172,0.001686311
10,4,0,0.007617264,0.00760805
11,4,0,0.03927995,0.039270689
12,4,0,0.229649522,0.229640671
13,4,1,0.58092977,0.580919362
4,5,0,0.000223072,0.00021495
5,5,0,0.000232711,0.000224623
6,5,0,0.000517634,0.00050952
7,5,0,0.000733396,0.000724376
8,5,0,0.000894333,0.000885841
9,5,0,0.001805718,0.00179765
10,5,0,0.007918552,0.007910449
11,5,0,0.039322263,0.039314017
12,5,0,0.221324608,0.221316556
13,5,1,0.577071793,0.577058609
4,6,0,0.000444315,0.000423136
5,6,0,0.000410625,0.00039096
6,6,0,0.000604173,0.000585857
7,6,0,0.000910935,0.000893569
8,6,0,0.000802949,0.000791634
9,6,0,0.001897578,0.001888772
10,6,0,0.010911486,0.010891792
11,6,0,0.057357105,0.057337533
12,6,0,0.223539373,0.223520973
13,6,1,0.568434215,0.568415839
4,7,0,0.000318473,0.000310402
5,7,0,0.000352895,0.000344846
6,7,0,0.000536939,0.00052879
7,7,0,0.000994975,0.000986991
8,7,0,0.000528539,0.000520389
9,7,0,0.001946366,0.001938191
10,7,0,0.007890776,0.007882654
11,7,0,0.039483657,0.039475547
12,7,0,0.221496818,0.221488789
13,7,1,0.556247305,0.556239094
4,8,0,0.000444958,0.000425261
5,8,0,0.00060965,0.000591243
6,8,0,0.000725386,0.000707911
7,8,0,0.001034563,0.001018107
8,8,0,0.0006318,0.000616653
9,8,0,0.002066551,0.002046982
10,8,0,0.008152893,0.008134599
11,8,0,0.040006301,0.039983337
12,8,0,0.221758637,0.221739417
13,8,1,0.580945378,0.580926807
4,0,0,7.3275e-05,5.6738e-05
5,0,0,8.7848e-05,7.0532e-05
6,0,0,0.000112384,9.6048e-05
7,0,0,0.00023564,0.000219229
8,0,0,0.00102197,0.001001045
9,0,0,0.001670579,0.001660308
10,0,0,0.01128061,0.011268794
11,0,0,0.047837334,0.04782601
12,0,0,0.224978229,0.224969984
13,0,1,0.412445792,0.412424295
4,1,0,6.9038e-05,5.7081e-05
5,1,0,0.000139809,0.000119317
6,1,0,0.000200128,0.000173283
7,1,0,0.000361261,0.0003423
8,1,0,0.00088251,0.000863574
9,1,0,0.003592571,0.003574722
10,1,0,0.016371677,0.016353973
11,1,0,0.066817684,0.06680179
12,1,0,0.231643408,0.231631884
13,1,1,0.591741403,0.591733216
4,2,0,0.000173855,0.000165747
